iter,res_pri,res_dual,gap,ax_s_btau_nrm_inf,px_aty_ctau_nrm_inf,ax_s_btau_nrm_2,px_aty_ctau_nrm_2,res_infeas,res_unbdd_a,res_unbdd_p,pobj,dobj,tau,kap,res_pri_normalized,res_dual_normalized,gap_normalized,ax_s_btau_nrm_inf_normalized,px_aty_ctau_nrm_inf_normalized,ax_s_btau_nrm_2_normalized,px_aty_ctau_nrm_2_normalized,res_infeas_normalized,res_unbdd_a_normalized,res_unbdd_p_normalized,pobj_normalized,dobj_normalized,tau_normalized,kap_normalized,scale,diff_u_ut_nrm_2,diff_v_v_prev_nrm_2,diff_u_ut_nrm_inf,diff_v_v_prev_nrm_inf,aa_norm,accepted_accel_steps,rejected_accel_steps,time,
0,1.1084525583955859e+02,9.9998891547441602e+00,1.4737644667466693e+03,1.1084525583955859e+02,9.9998891547441602e+00,1.3306047748157800e+02,1.9346237827786403e+01,5.0984228711034349e-02,1.0249276258477610e-01,1.6374598343364574e-04,-1.0814909814356561e+03,3.9227348531101342e+02,1.0000000000000000e+00,0.0000000000000000e+00,1.1084525583955859e+02,9.9998891547441602e+00,1.4737644667466693e+03,1.1084525583955859e+02,9.9998891547441602e+00,1.3306047748157800e+02,1.9346237827786403e+01,5.0984228711034349e-02,1.0249276258477610e-01,1.6374598343364574e-04,-1.0814909814356561e+03,3.9227348531101342e+02,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,7.5715982364837657e+01,1.1357397354725651e+02,5.5422627919779295e+01,8.3133941879668939e+01,0.0000000000000000e+00,0,0,1.6679900000000000e-04,
1,1.6517002974300266e+02,3.1578915840916835e+01,2.5957784776144690e+03,5.9405853862531819e+00,1.1357826008154310e+00,1.0710513254284580e+01,2.0321417002800906e+00,nan,nan,nan,1.5158556301997428e+03,-1.0799228474147262e+03,3.5966484933716319e-02,0.0000000000000000e+00,1.6517002974300266e+02,3.1578915840916835e+01,2.5957784776144690e+03,5.9405853862531819e+00,1.1357826008154310e+00,1.0710513254284580e+01,2.0321417002800906e+00,nan,nan,nan,1.5158556301997428e+03,-1.0799228474147262e+03,3.5966484933716319e-02,0.0000000000000000e+00,1.0000000000000001e-01,9.0804205870288364e+00,1.3620630880543253e+01,6.4996383791675152e+00,9.7494575687512732e+00,0.0000000000000000e+00,0,0,3.0920800000000000e-04,
2,4.1008740679055727e+01,4.9927285044177641e+00,4.0350078072033989e+02,7.0578471269096283e+00,8.5927814282630921e-01,1.4347517781012625e+01,1.5725143862855937e+00,5.3160068102370887e-02,2.8836574023103551e-01,1.8474221765030657e-03,-1.8029707704219791e+02,2.2320370367814201e+02,1.7210592205564268e-01,2.7755575615628914e-16,4.1008740679055727e+01,4.9927285044177641e+00,4.0350078072033989e+02,7.0578471269096283e+00,8.5927814282630921e-01,1.4347517781012625e+01,1.5725143862855937e+00,5.3160068102370887e-02,2.8836574023103551e-01,1.8474221765030657e-03,-1.8029707704219791e+02,2.2320370367814201e+02,1.7210592205564268e-01,2.7755575615628914e-16,1.0000000000000001e-01,1.0533263034468597e+01,1.5799894551702893e+01,5.7129426708614819e+00,8.5694140062922237e+00,0.0000000000000000e+00,0,0,5.0844900000000001e-04,
3,3.4609779579683227e+01,3.3452526607427364e+00,2.8995827123146506e+02,5.3970633399682395e+00,5.2166008329114821e-01,1.1018291252237891e+01,8.0922891117403617e-01,3.4689507074575321e-01,nan,nan,3.1483935002387369e+02,2.4881078792408655e+01,1.5594041353376448e-01,0.0000000000000000e+00,3.4609779579683227e+01,3.3452526607427364e+00,2.8995827123146506e+02,5.3970633399682395e+00,5.2166008329114821e-01,1.1018291252237891e+01,8.0922891117403617e-01,3.4689507074575321e-01,nan,nan,3.1483935002387369e+02,2.4881078792408655e+01,1.5594041353376448e-01,0.0000000000000000e+00,1.0000000000000001e-01,9.4716751089051314e+00,1.4207512663357697e+01,5.2044665250953548e+00,7.8066997876430317e+00,0.0000000000000000e+00,0,0,5.9946900000000004e-04,
4,1.6767616118722493e+01,3.2473866510381164e+00,1.6418800645239074e+02,3.0740775857804379e+00,5.9535705288316476e-01,7.1401563295699040e+00,7.9367187847573606e-01,7.4478645711657340e-02,2.3985865847490468e+00,2.5829562987103004e-02,-1.9664193878667934e+01,1.4452381257372281e+02,1.8333420588917015e-01,0.0000000000000000e+00,1.6767616118722493e+01,3.2473866510381164e+00,1.6418800645239074e+02,3.0740775857804379e+00,5.9535705288316476e-01,7.1401563295699040e+00,7.9367187847573606e-01,7.4478645711657340e-02,2.3985865847490468e+00,2.5829562987103004e-02,-1.9664193878667934e+01,1.4452381257372281e+02,1.8333420588917015e-01,0.0000000000000000e+00,1.0000000000000001e-01,6.3220486563688247e+00,9.4830729845532389e+00,2.7884937453331338e+00,4.1827406179997002e+00,0.0000000000000000e+00,0,0,7.7443700000000000e-04,
5,2.5602323378445213e+01,1.3202623045205657e+00,1.1881652611557429e+02,3.0397235695464424e+00,1.5675266598708915e-01,6.4247772255206268e+00,2.8817418499450381e-01,nan,nan,nan,6.4368452173373043e+01,-5.4448073942201248e+01,1.1872842650310433e-01,0.0000000000000000e+00,2.5602323378445213e+01,1.3202623045205657e+00,1.1881652611557429e+02,3.0397235695464424e+00,1.5675266598708915e-01,6.4247772255206268e+00,2.8817418499450381e-01,nan,nan,nan,6.4368452173373043e+01,-5.4448073942201248e+01,1.1872842650310433e-01,0.0000000000000000e+00,1.0000000000000001e-01,4.0321384501823978e+00,6.0482076752735958e+00,2.1116776970134685e+00,3.1675165455202028e+00,0.0000000000000000e+00,0,0,9.4977500000000003e-04,
6,3.8335566521304443e+01,3.9129419684376567e+00,6.3678443333646328e+01,3.5833800678044656e+00,3.6575847257618560e-01,5.9162169201974972e+00,6.4718276873050040e-01,nan,2.6317090847573316e-01,4.8989404507052700e-03,-1.7202023167732503e+02,-1.0834178834367872e+02,9.3474034505608608e-02,0.0000000000000000e+00,3.8335566521304443e+01,3.9129419684376567e+00,6.3678443333646328e+01,3.5833800678044656e+00,3.6575847257618560e-01,5.9162169201974972e+00,6.4718276873050040e-01,nan,2.6317090847573316e-01,4.8989404507052700e-03,-1.7202023167732503e+02,-1.0834178834367872e+02,9.3474034505608608e-02,0.0000000000000000e+00,1.0000000000000001e-01,2.3661758270657893e+00,3.5492637405986835e+00,1.2147981971049076e+00,1.8221972956573613e+00,0.0000000000000000e+00,0,0,1.0352490000000000e-03,
7,4.5140530824714830e+01,6.9795177616062647e+00,2.8721686403677054e+01,5.4762525388489545e+00,8.4672468762841890e-01,1.0527096869364748e+01,1.1375995079229206e+00,nan,3.9458942301697181e-01,1.0088383470390571e-02,-1.1430560988741514e+02,-1.4302729629109220e+02,1.2131564336524503e-01,0.0000000000000000e+00,4.5140530824714830e+01,6.9795177616062647e+00,2.8721686403677054e+01,5.4762525388489545e+00,8.4672468762841890e-01,1.0527096869364748e+01,1.1375995079229206e+00,nan,3.9458942301697181e-01,1.0088383470390571e-02,-1.1430560988741514e+02,-1.4302729629109220e+02,1.2131564336524503e-01,0.0000000000000000e+00,1.0000000000000001e-01,4.7274776140344814e+00,7.0912164210517243e+00,2.6747946411253491e+00,4.0121919616880239e+00,0.0000000000000000e+00,0,0,1.1289960000000002e-03,
8,3.4271809101489971e+01,1.9675796686061509e+00,6.3185778674764848e+00,6.0870249082626744e+00,3.4946233554026684e-01,1.3812416347223298e+01,8.6748213500829063e-01,1.6575780321052735e-01,nan,nan,5.4221476746656954e+01,6.0540054614133432e+01,1.7761025950620274e-01,0.0000000000000000e+00,3.4271809101489971e+01,1.9675796686061509e+00,6.3185778674764848e+00,6.0870249082626744e+00,3.4946233554026684e-01,1.3812416347223298e+01,8.6748213500829063e-01,1.6575780321052735e-01,nan,nan,5.4221476746656954e+01,6.0540054614133432e+01,1.7761025950620274e-01,0.0000000000000000e+00,1.0000000000000001e-01,6.8354580414492583e+00,1.0253187062173884e+01,3.6861995343666814e+00,5.5292993015500222e+00,0.0000000000000000e+00,0,0,1.2088710000000000e-03,
9,2.0932426692435733e+01,1.7707530577952630e+00,2.7435835114043385e+00,5.8818653757276866e+00,4.9756921415010286e-01,1.6999570919985207e+01,9.5346276389569773e-01,2.7729669140698759e-01,nan,nan,3.8420257877051078e+01,3.5676674365646733e+01,2.8099300010223816e-01,0.0000000000000000e+00,2.0932426692435733e+01,1.7707530577952630e+00,2.7435835114043385e+00,5.8818653757276866e+00,4.9756921415010286e-01,1.6999570919985207e+01,9.5346276389569773e-01,2.7729669140698759e-01,nan,nan,3.8420257877051078e+01,3.5676674365646733e+01,2.8099300010223816e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.2267296479938263e+01,1.8400944719907397e+01,5.0397708384121040e+00,7.5596562576181565e+00,0.0000000000000000e+00,0,0,1.2905190000000000e-03,
