iter,res_pri,res_dual,gap,ax_s_btau_nrm_inf,px_aty_ctau_nrm_inf,ax_s_btau_nrm_2,px_aty_ctau_nrm_2,res_infeas,res_unbdd_a,res_unbdd_p,pobj,dobj,tau,kap,res_pri_normalized,res_dual_normalized,gap_normalized,ax_s_btau_nrm_inf_normalized,px_aty_ctau_nrm_inf_normalized,ax_s_btau_nrm_2_normalized,px_aty_ctau_nrm_2_normalized,res_infeas_normalized,res_unbdd_a_normalized,res_unbdd_p_normalized,pobj_normalized,dobj_normalized,tau_normalized,kap_normalized,scale,diff_u_ut_nrm_2,diff_v_v_prev_nrm_2,diff_u_ut_nrm_inf,diff_v_v_prev_nrm_inf,aa_norm,accepted_accel_steps,rejected_accel_steps,time,
0,9.8095238095238091e-01,1.9428571428571431e-01,1.9809523809523810e-01,9.8095238095238091e-01,1.9428571428571431e-01,9.9999999999999989e-01,1.9521718819533651e-01,9.8076923076923084e-01,nan,nan,0.0000000000000000e+00,1.9809523809523810e-01,1.0000000000000000e+00,0.0000000000000000e+00,9.8095238095238091e-01,1.9428571428571431e-01,1.9809523809523810e-01,9.8095238095238091e-01,1.9428571428571431e-01,9.9999999999999989e-01,1.9521718819533651e-01,9.8076923076923084e-01,nan,nan,0.0000000000000000e+00,1.9809523809523810e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.0000000000000001e-01,1.4999999999999999e-01,9.8095238095238096e-02,1.4714285714285713e-01,0.0000000000000000e+00,0,0,1.7953300000000000e-04,
1,9.3665514264726590e-01,3.3969394542697234e-01,3.5345129288140997e-01,2.3308102281199026e+00,8.4530803962046897e-01,2.3376376380299724e+00,8.4935525507534726e-01,9.6430450669441103e-01,nan,nan,3.6750902860494991e-05,3.5348804378427046e-01,2.4884401120484321e+00,0.0000000000000000e+00,9.3665514264726590e-01,3.3969394542697234e-01,3.5345129288140997e-01,2.3308102281199026e+00,8.4530803962046897e-01,2.3376376380299724e+00,8.4935525507534726e-01,9.6430450669441103e-01,nan,nan,3.6750902860494991e-05,3.5348804378427046e-01,2.4884401120484321e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.7290665713944462e-01,4.0935998570916693e-01,2.3948299981760546e-01,3.5922449972640819e-01,0.0000000000000000e+00,0,0,3.0365900000000001e-04,
2,8.6707563310157343e-01,4.8184126084800372e-01,5.1522327480865016e-01,2.0200294778842016e+00,1.1225474611622921e+00,2.0566581311722700e+00,1.1279163576747553e+00,9.3946891873519944e-01,nan,nan,1.5553145356390343e-04,5.1537880626221400e-01,2.3297038929100728e+00,0.0000000000000000e+00,8.6707563310157343e-01,4.8184126084800372e-01,5.1522327480865016e-01,2.0200294778842016e+00,1.1225474611622921e+00,2.0566581311722700e+00,1.1279163576747553e+00,9.3946891873519944e-01,nan,nan,1.5553145356390343e-04,5.1537880626221400e-01,2.3297038929100728e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.7552685374873570e-01,4.1329028062310358e-01,2.1189110098290553e-01,3.1783665147435836e-01,0.0000000000000000e+00,0,0,4.5725700000000003e-04,
3,7.6727475070289497e-01,6.2038911545875441e-01,6.8936559742217773e-01,1.6282365217092098e+00,1.3165299842532723e+00,1.7025118111077535e+00,1.3228203909538201e+00,9.0523630239543640e-01,nan,nan,5.4165565774678395e-04,6.8990725307992451e-01,2.1221036144061745e+00,0.0000000000000000e+00,7.6727475070289497e-01,6.2038911545875441e-01,6.8936559742217773e-01,1.6282365217092098e+00,1.3165299842532723e+00,1.7025118111077535e+00,1.3228203909538201e+00,9.0523630239543640e-01,nan,nan,5.4165565774678395e-04,6.8990725307992451e-01,2.1221036144061745e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.8668498021441008e-01,4.3002747032161515e-01,1.7570646095113052e-01,2.6355969142669577e-01,0.0000000000000000e+00,0,0,5.2637199999999999e-04,
4,6.2922007902883859e-01,7.5375032639764383e-01,8.8239182714834685e-01,1.1772742204837257e+00,1.4102709966260782e+00,1.3657767017166282e+00,1.4170007331546464e+00,8.5989448546479552e-01,nan,nan,1.4052876379843618e-03,8.8379711478633127e-01,1.8710054871433441e+00,0.0000000000000000e+00,6.2922007902883859e-01,7.5375032639764383e-01,8.8239182714834685e-01,1.1772742204837257e+00,1.4102709966260782e+00,1.3657767017166282e+00,1.4170007331546464e+00,8.5989448546479552e-01,nan,nan,1.4052876379843618e-03,8.8379711478633127e-01,1.8710054871433441e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.8842978650876250e-01,4.3264467976314380e-01,1.5201288086028386e-01,2.2801932129042579e-01,0.0000000000000000e+00,0,0,5.9315300000000002e-04,
5,5.5214748734697572e-01,8.7773330158648577e-01,1.1034327789293223e+00,8.7810801201514310e-01,1.3959035623596932e+00,1.1283241666214370e+00,1.4025548075919296e+00,8.0093843542163601e-01,nan,nan,3.3202160433068203e-03,1.1067529949726291e+00,1.5903504627620084e+00,0.0000000000000000e+00,5.5214748734697572e-01,8.7773330158648577e-01,1.1034327789293223e+00,8.7810801201514310e-01,1.3959035623596932e+00,1.1283241666214370e+00,1.4025548075919296e+00,8.0093843542163601e-01,nan,nan,3.3202160433068203e-03,1.1067529949726291e+00,1.5903504627620084e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.8754843624508880e-01,4.3132265436763323e-01,1.6719828469405762e-01,2.5079742704108643e-01,0.0000000000000000e+00,0,0,7.2401099999999999e-04,
6,8.0756668411733212e-01,9.8454018452156977e-01,1.3669067185817512e+00,1.0466257291017564e+00,1.2759876165287070e+00,1.0868016130039158e+00,1.2820549548753488e+00,7.2477265903785315e-01,nan,nan,7.3306502790488458e-03,1.3742373688608001e+00,1.2960239069863502e+00,0.0000000000000000e+00,8.0756668411733212e-01,9.8454018452156977e-01,1.3669067185817512e+00,1.0466257291017564e+00,1.2759876165287070e+00,1.0868016130039158e+00,1.2820549548753488e+00,7.2477265903785315e-01,nan,nan,7.3306502790488458e-03,1.3742373688608001e+00,1.2960239069863502e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.7823367481867234e-01,4.1735051222800845e-01,1.7375033322361078e-01,2.6062549983541605e-01,0.0000000000000000e+00,0,0,8.4873900000000005e-04,
7,1.1712473410798336e+00,1.0578997655212943e+00,1.6966125164113910e+00,1.1797780177029353e+00,1.0656048850829720e+00,1.2243239770793410e+00,1.0706563822971140e+00,6.2622443227896318e-01,nan,nan,1.5975186631121518e-02,1.7125877030425125e+00,1.0072834117302985e+00,0.0000000000000000e+00,1.1712473410798336e+00,1.0578997655212943e+00,1.6966125164113910e+00,1.1797780177029353e+00,1.0656048850829720e+00,1.2243239770793410e+00,1.0706563822971140e+00,6.2622443227896318e-01,nan,nan,1.5975186631121518e-02,1.7125877030425125e+00,1.0072834117302985e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.6422301643784635e-01,3.9633452465676949e-01,1.7218664693978147e-01,2.5827997040967210e-01,0.0000000000000000e+00,0,0,9.2685799999999991e-04,
8,1.6808607161238454e+00,1.0681491070402271e+00,2.1375932186902471e+00,1.2433857981523626e+00,7.9014365513025098e-01,1.3941924918533639e+00,7.9389834749790633e-01,5.0000000000000000e-01,nan,nan,3.5643879728013597e-02,2.1732370984182610e+00,7.3973160668522064e-01,0.0000000000000000e+00,1.6808607161238454e+00,1.0681491070402271e+00,2.1375932186902471e+00,1.2433857981523626e+00,7.9014365513025098e-01,1.3941924918533639e+00,7.9389834749790633e-01,5.0000000000000000e-01,nan,nan,3.5643879728013597e-02,2.1732370984182610e+00,7.3973160668522064e-01,0.0000000000000000e+00,1.0000000000000001e-01,2.4488020267011978e-01,3.6732030400517957e-01,1.6362244239289747e-01,2.4543366358934615e-01,0.0000000000000000e+00,0,0,1.0015000000000000e-03,
9,1.3356291059753569e+00,1.5161895449890999e+00,2.9713743888273649e+00,6.7346489140665500e-01,7.6450896637380528e-01,7.0359208646084470e-01,7.7031846086226285e-01,5.0000000000000000e-01,nan,nan,8.6130862005799974e-02,3.0575052508331648e+00,5.0423046966683938e-01,0.0000000000000000e+00,1.3356291059753569e+00,1.5161895449890999e+00,2.9713743888273649e+00,6.7346489140665500e-01,7.6450896637380528e-01,7.0359208646084470e-01,7.7031846086226285e-01,5.0000000000000000e-01,nan,nan,8.6130862005799974e-02,3.0575052508331648e+00,5.0423046966683938e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.9608133327129515e-01,2.9412199990694271e-01,1.4966019024795418e-01,2.2449028537193128e-01,0.0000000000000000e+00,0,0,1.0745940000000001e-03,
